GeneSymbol	S08_Treat_F	S10_Treat_F	S12_Cont_M	S13_Cont_M	S14_Cont_M	S15_Treat_F	S16_Treat_M	S20_Treat_F	S21_Cont_M	S22_Treat_F	S24_Treat_M	S25_Cont_M	S26_Treat_F	S27_Cont_F	S28_Treat_F	S30_Cont_M	S31_Treat_M	S32_Cont_F	S33_Cont_M
USH1C	9.48883201322687	5.87082061817119	30.5263851396188	18.085349126736	6.16791757963313	6.06965602199575	6.26901287788676	11.9327219840752	7.23442720157737	14.8315815749281	20.7595704053217	11.3611235371238	9.2239877321636	26.5093821263605	7.33364635444274	8.33127294438144	18.5745279181484	16.8326378113194	9.4336597632798
USH2A	11.9679764921254	10.7787070258157	13.8851780777123	6.94496338226125	12.4351577289581	10.9609749765161	17.6254482949007	7.3976930332497	10.8195921281651	16.0105555147116	13.3467696061254	9.73622724981644	9.69075976480185	18.0519028545509	10.0279120687631	17.3947122500591	12.8896071637671	14.6775201680719	13.1082391159572
USO1	162.991654193255	159.261814243803	198.68148747635	172.516072550944	177.445651128484	172.264662908652	176.547497306285	168.638842399066	165.246006393638	167.891667612909	148.142210628123	151.634728489394	177.781238570409	179.038123148855	153.672221215161	148.316545151498	165.895173438007	170.373635023132	158.90895624266
USP1	42.418882223044	40.5732908396154	47.926546939133	33.5738932922371	36.1269838645478	34.5800091188018	36.7386811190718	39.8098663122211	41.1669404019483	41.2587521691511	40.728871040163	38.0400606856765	40.4269521867188	45.3520362874097	40.3849825889169	42.3040946288943	40.4965787169644	48.511707051182	48.0480295228114
USP10	140.95929317838	127.728686304144	137.289961612216	130.745439022733	131.997283888311	150.358446493308	129.315496297731	128.298224482731	134.226822570891	133.227660755781	131.859105619312	130.165950986041	146.482380505804	139.601358385679	133.704702553221	108.883022066339	142.784418383103	134.272047715266	146.273796290767
USP12	64.9900763767116	57.968648145504	64.4892815666509	57.4378444152253	62.3768883984292	81.4999566730512	64.6290256376035	43.5786410440707	65.0870876957849	62.5823584141621	55.9041921265837	57.7002694729257	64.4199630774369	47.8981186835994	54.9706124047763	54.736015041634	51.0495408538557	52.4538987072582	62.3827780892223
USP13	60.4688649949076	45.8449899517217	92.6732139189311	78.6243000217619	63.6329533940489	75.9472832790299	67.5248730069103	55.0551688552594	58.8735111813407	58.9043111076006	59.9583633686726	58.7454379073501	62.5378861878574	76.066637817922	55.0102228244517	75.6338734214236	55.5635874693354	78.7768613251903	58.1395773427524
USP14	154.612262211132	124.031414431798	164.12485969367	157.830893995531	136.897401582318	197.187462476452	156.849860517589	133.647302921308	157.894223072817	150.449195588231	156.168520005534	147.748330189116	168.051296002345	140.253186052496	146.489661008766	132.721678152185	143.030810309896	143.612330035451	159.306265299645
USP15	156.960535397827	133.562144423138	160.668463097162	165.598377708385	154.759202840416	251.543939852454	163.073435121986	119.285296892406	156.617296959766	138.873717814928	161.503477042562	130.695781904058	159.264560338539	142.072315713366	126.891286839692	124.784671473446	136.094960338665	142.492436631119	146.246932333111
USP16	78.1879998791689	53.5580274145662	85.6621916527254	70.1565868143816	81.8869231658513	96.1614075060196	76.4822097768106	48.7342944082719	65.7743975817483	68.0657503293637	62.8216829614521	67.0928317094351	72.9691072546511	57.3388938799506	65.1582522451448	47.9361478429956	56.4570700084057	58.3899007696245	68.8379577107873
